Designator,Footprint,Quantity,Value,LCSC Part #
U6,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,DS4560S-AR+,C1523931
R7,R_0805_2012Metric,1,1.8K,C17398
J3,CONN-TH_XY308-2.54-2P,1,Screw_Terminal_01x02,C557685
R4,R_0805_2012Metric,1,1K,C17513
J10,PinHeader_2x03_P2.54mm_Vertical,1,AVR-ISP-6,C492420
J5,CONN-TH_XY308-2.54-2P,1,Screw_Terminal_01x02,C557685
H4,MountingHole_3.2mm_M3,1,MountingHole,
R2,R_0805_2012Metric,1,1.5K,C4310
C6,C0402,1,1uF,C52923
U5,SOT-223-3_TabPin2,1,AMS1117-5.0,C6187
H3,MountingHole_3.2mm_M3,1,MountingHole,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Bypass,
C3,C0402,1,1uF,C52923
J15,CONN-TH_XY308-2.54-2P,1,Screw_Terminal_01x02,C557685
C1,C0805,1,4.7uF,C1779
C5,C0402,1,100nF,C1525
U3,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,1,ULN2003A,C7512
C11,C0402,1,1uF,C52923
C2,C0402,1,1uF,C52923
U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,MAX487ESA+T,C9953
C12,C0402,1,5uF,TBA
R8,R_0805_2012Metric,1,1.8K,C17398
J14,CONN-TH_XY308-2.54-2P,1,Screw_Terminal_01x02,C557685
<<<<<<< HEAD
C13,C0402,1,1uF,C52923
=======
>>>>>>> 2f76b40c385eb65bc6f4fe73c6ed0ffb19261ddd
D2,LED_0603_1608Metric,1,LED,C72041
C10,C0402,1,10uF,C15525
H1,MountingHole_3.2mm_M3,1,MountingHole,
J1,CONN-TH_XY308-2.54-2P,1,Screw_Terminal_01x02,C557685
J6,CONN-TH_XY308-2.54-2P,1,Screw_Terminal_01x02,C557685
R6,R_0805_2012Metric,1,120R,C17437
J9,CONN-TH_XY308-2.54-2P,1,Screw_Terminal_01x02,C557685
J2,CONN-TH_XY308-2.54-2P,1,Screw_Terminal_01x02,C557685
SW3,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,SW_MEC_5E,C318884
SW2,SW-SMD_DSHP02TSGER,1,SW_DIP_x02,C367376
C4,C0402,1,1uF,C52923
J4,CONN-TH_XY308-2.54-2P,1,Screw_Terminal_01x02,C557685
D5,D_SOD-123,1,1N4148W,C81598
RJ1,RJ45-TH_B-1-1,1,RJ45-B-1*1,C138392
C7,C0402,1,100nF,C1525
R1,R_0805_2012Metric,1,1.5K,C4310
C9,C0402,1,15pF,C1548
SW1,SW-SMD_DSHP02TSGER,1,SW_DIP_x02,C367376
J13,CONN-TH_XY308-2.54-2P,1,Screw_Terminal_01x02,C557685
J16,CONN-TH_XY308-2.54-2P,1,Screw_Terminal_01x02,C557685
J12,CONN-TH_XY308-2.54-2P,1,Screw_Terminal_01x02,C557685
<<<<<<< HEAD
R9,R_0805_2012Metric,1,390R,C17655
=======
>>>>>>> 2f76b40c385eb65bc6f4fe73c6ed0ffb19261ddd
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C13738
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-AU,C14877
J11,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Female,C40877
H2,MountingHole_3.2mm_M3,1,MountingHole,
R3,R_0805_2012Metric,1,10K,C17414
J8,CONN-TH_XY308-2.54-2P,1,Screw_Terminal_01x02,C557685
C8,C0402,1,15pF,C1548
J7,CONN-TH_XY308-2.54-2P,1,Screw_Terminal_01x02,C557685
D1,LED_0603_1608Metric,1,LED,C72041
